"","ex.sp","genus","family"
"17096","Symphyandra cretica","Symphyandra","Gentianaceae"
"17097","Symphyllocarpus exilis","Symphyllocarpus","Asteraceae"
"17098","Symphyllophyton caprifolioides","Symphyllophyton","Gentianaceae"
"17099","Symphyobasis macroplecta","Symphyobasis","Goodeniaceae"
"17100","Symphyodon acuminatus","Symphyodon",NA
"17101","Symphyogyna apiculispina","Symphyogyna",NA
"17102","Symphyogynopsis filicum","Symphyogynopsis",NA
"17103","Symphyoloma graveolens","Symphyoloma","Apiaceae"
"17104","Symphyomitra africana","Symphyomitra",NA
"17105","Symphyopappus angustifolius","Symphyopappus","Asteraceae"
"17106","Symphyotrichum Ã—amethystinum","Symphyotrichum","Asteraceae"
"17107","Symphysia alainii","Symphysia","Ericaceae"
"17108","Symphysodon enervis","Symphysodon",NA
"17109","Symphysodontella attenuatula","Symphysodontella",NA
"17110","Symphytosiphon hildebrandtii","Symphytosiphon","Meliaceae"
"17111","Symphytum anatolicum","Symphytum","Gesneriaceae"
"17112","Sympieza kunthii","Sympieza","Ericaceae"
"17113","Symplectrodia gracilis","Symplectrodia","Poaceae"
"17114","Symplocarpus foetidus","Symplocarpus","Araceae"
"17115","Symplococarpon airy-shawianum","Symplococarpon","Pentaphylacaceae"
"17116","Symplocos abietorum","Symplocos","Symplocaceae"
"17117","Synadenium compactum","Synadenium","Euphorbiaceae"
"17118","Synaedrys discocarpa","Synaedrys","Fagaceae"
"17119","Synammia feuillei","Synammia","Polypodiaceae"
"17120","Synandra grandiflora","Synandra","Dilleniaceae"
"17121","Synandrodaphne paradoxa","Synandrodaphne","Thymelaeaceae"
"17122","Synandrospadix vermitoxicus","Synandrospadix","Araceae"
"17123","Synanthes bertonii","Synanthes","Orchidaceae"
"17124","Synaphea acutiloba","Synaphea","Proteaceae"
"17125","Synaphlebium obtusum","Synaphlebium","Lindsaeaceae"
"17126","Synaptantha scleranthoides","Synaptantha","Rubiaceae"
"17127","Synaptolepis alternifolia","Synaptolepis","Thymelaeaceae"
"17128","Synardisia venosa","Synardisia","Primulaceae"
"17129","Syncalathium chrysocephalum","Syncalathium","Asteraceae"
"17130","Syncarpha affine","Syncarpha","Asteraceae"
"17131","Syncarpia glomulifera","Syncarpia","Balanophoraceae"
"17132","Syncephalum arbutifolium","Syncephalum","Asteraceae"
"17133","Synclisia scabrida","Synclisia","Menispermaceae"
"17134","Syncolostemon albiflorus","Syncolostemon","Lamiaceae"
"17135","Syncretocarpus sericeus","Syncretocarpus","Asteraceae"
"17136","Syndesmanthus glaucus","Syndesmanthus","Ericaceae"
"17137","Syndiclis chinensis","Syndiclis","Lauraceae"
"17138","Syndyophyllum excelsum","Syndyophyllum","Euphorbiaceae"
"17139","Synechanthus angustifolius","Synechanthus","Arecaceae"
"17140","Synedrella nodiflora","Synedrella","Asteraceae"
"17141","Synedrellopsis grisebachii","Synedrellopsis","Asteraceae"
"17142","Syneilesis aconitifolia","Syneilesis","Asteraceae"
"17143","Synelcosciadium carmeli","Synelcosciadium","Apiaceae"
"17144","Synema perenne","Synema","Orchidaceae"
"17145","Syngonanthus acephalus","Syngonanthus","Eriocaulaceae"
"17146","Syngonium angustatum","Syngonium","Araceae"
"17147","Syngramma cartilagidens","Syngramma","Pteridaceae"
"17148","Synima cordieri","Synima","Sapindaceae"
"17149","Synodontia cochlearifolia","Synodontia",NA
"17150","Synosma suaveolens","Synosma","Asteraceae"
"17151","Synotis acuminata","Synotis","Asteraceae"
"17152","Synoum glandulosum","Synoum","Meliaceae"
"17153","Synsepalum afzelii","Synsepalum","Urticaceae"
"17154","Synthetodontium pringlei","Synthetodontium",NA
"17155","Synthlipsis densiflora","Synthlipsis","Brassicaceae"
"17156","Synthyris borealis","Synthyris","Plantaginaceae"
"17157","Syntoma comosum","Syntoma","Rosaceae"
"17158","Syntriandrium preussii","Syntriandrium","Menispermaceae"
"17159","Syntriandrum preuisii","Syntriandrum",NA
"17160","Syntrichia aculeata","Syntrichia",NA
"17161","Syntrichopappus fremontii","Syntrichopappus","Asteraceae"
"17162","Synurus deltoides","Synurus","Asteraceae"
"17163","Syrenia cana","Syrenia","Brassicaceae"
"17164","Syringa alba","Syringa","Meliaceae"
"17165","Syringantha coulteri","Syringantha","Caprifoliaceae"
"17166","Syringodea bifucata","Syringodea","Iridaceae"
"17167","Syringodium filiforme","Syringodium","Cymodoceaceae"
"17168","Syringothecium sprucei","Syringothecium",NA
"17169","Syrmatium argophyllum","Syrmatium","Fabaceae"
"17170","Syrrheonema fasciculatum","Syrrheonema","Menispermaceae"
"17171","Syrrhonema welwitschii","Syrrhonema","Menispermaceae"
"17172","Syrrhopodon aculeatoserratus","Syrrhopodon",NA
"17173","Systegium subacaule","Systegium",NA
"17174","Systellantha brookeae","Systellantha","Primulaceae"
"17175","Systeloglossum acuminatum","Systeloglossum","Orchidaceae"
"17176","Systemonodaphne geminiflora","Systemonodaphne","Lauraceae"
"17177","Systenotheca vortreidei","Systenotheca","Polygonaceae"
"17178","Syzygiella acinacifolia","Syzygiella",NA
"17179","Syzygium acetosum","Syzygium","Loranthaceae"
"17180","Szovitsia callicarpa","Szovitsia","Apiaceae"
"17181","Szweykowskia cucullifolia","Szweykowskia",NA
"17182","Tabaroa caatingicola","Tabaroa","Fabaceae"
"17183","Tabebuia acrophylla","Tabebuia","Bignoniaceae"
"17184","Tabernaemontana africana","Tabernaemontana","Apiaceae"
"17185","Tabernanthe elliptica","Tabernanthe","Apocynaceae"
"17186","Tacarcuna amanoifolia","Tacarcuna","Araceae"
"17187","Tacazzea apiculata","Tacazzea","Apocynaceae"
"17188","Tacca ankaranensis","Tacca","Dioscoreaceae"
"17189","Taccarum caudatum","Taccarum","Araceae"
"17190","Tachiadenus antaisaka","Tachiadenus","Acanthaceae"
"17191","Tachia gracilis","Tachia","Fabaceae"
"17192","Tachigali acrensis","Tachigali","Fabaceae"
"17193","Tacinga braunii","Tacinga","Cactaceae"
"17194","Tacitus bellus","Tacitus","Fabaceae"
"17195","Tadeastrum reichenbachianum","Tadeastrum","Orchidaceae"
"17196","Tadehagi kerrii","Tadehagi","Fabaceae"
"17197","Taeniatherum caput-medusae","Taeniatherum","Poaceae"
"17198","Taenidia integerrima","Taenidia","Apiaceae"
"17199","Taeniolejeunea floccosa","Taeniolejeunea",NA
"17200","Taeniophyllum aurantiacum","Taeniophyllum","Eriocaulaceae"
"17201","Taeniorhachis repens","Taeniorhachis","Poaceae"
"17202","Taeniorrhiza gabonensis","Taeniorrhiza","Orchidaceae"
"17203","Taenitis blechnoides","Taenitis","Polypodiaceae"
"17204","Tafalla grisebachii","Tafalla","Lauraceae"
"17205","Tagetes apetala","Tagetes","Asteraceae"
"17206","Tahina spectabilis","Tahina","Arecaceae"
"17207","Taihangia rupestris","Taihangia","Rosaceae"
"17208","Tainia angustifolia","Tainia","Orchidaceae"
"17209","Taiwania cryptomerioides","Taiwania","Urticaceae"
"17210","Taiwanobryum crenulatum","Taiwanobryum",NA
"17211","Takakia ceratophylla","Takakia","Podostemaceae"
"17212","Takhtajania perrieri","Takhtajania","Winteraceae"
"17213","Talamancalia boquetensis","Talamancalia","Asteraceae"
"17214","Talassia transiliensis","Talassia","Apiaceae"
"17215","Talauma allenii","Talauma","Magnoliaceae"
"17216","Talbotia elegans","Talbotia","Acanthaceae"
"17217","Talbotiella bakossiensis","Talbotiella","Fabaceae"
"17218","Talguenea costata","Talguenea","Rhamnaceae"
"17219","Taliera elata","Taliera","Arecaceae"
"17220","Taligalea velutina","Taligalea","Verbenaceae"
"17221","Talinella albidiflora","Talinella","Talinaceae"
"17222","Talinopsis frutescens","Talinopsis","Portulacaceae"
"17223","Talinum angustissimum","Talinum","Caryophyllaceae"
"17224","Talipariti archboldianum","Talipariti","Malvaceae"
"17225","Talisia acutifolia","Talisia","Burseraceae"
"17226","Talpinaria sandemanii","Talpinaria","Orchidaceae"
"17227","Tamania chardonii","Tamania","Asteraceae"
"17228","Tamarindus indica","Tamarindus","Asparagaceae"
"17229","Tamarix africana","Tamarix","Tamaricaceae"
"17230","Tamaulipa azurea","Tamaulipa","Arecaceae"
"17231","Tamayorkis ehrenbergii","Tamayorkis","Orchidaceae"
"17232","Tambourissa alaticarpa","Tambourissa","Monimiaceae"
"17233","Tamijia flagellaris","Tamijia","Zingiberaceae"
"17234","Tamilnadia uliginosa","Tamilnadia","Rubiaceae"
"17235","Tammsia anomala","Tammsia","Rubiaceae"
"17236","Tamonea boxiana","Tamonea","Verbenaceae"
"17237","Tamridaea capsulifera","Tamridaea","Rubiaceae"
"17238","Tamus edulis","Tamus","Dioscoreaceae"
"17239","Tana bojeriana","Tana","Acanthaceae"
"17240","Tanacetopsis eriobasis","Tanacetopsis","Asteraceae"
"17241","Tanacetum abrotanifolium","Tanacetum","Asteraceae"
"17242","Tanaecium affine","Tanaecium","Bignoniaceae"
"17243","Tanakaea radicans","Tanakaea","Saxifragaceae"
"17244","Tanaosolen nudus","Tanaosolen","Iridaceae"
"17245","Tanarius conifer","Tanarius","Euphorbiaceae"
"17246","Tandonia brachystachya","Tandonia","Euphorbiaceae"
"17247","Tangtsinia nanchuanica","Tangtsinia","Orchidaceae"
"17248","Tannodia congolensis","Tannodia","Euphorbiaceae"
"17249","Tanquana archeri","Tanquana","Asparagaceae"
"17250","Taonabo candolleana","Taonabo","Pentaphylacaceae"
"17251","Tapeinia pumila","Tapeinia","Iridaceae"
"17252","Tapeinidium acuminatum","Tapeinidium","Lindsaeaceae"
"17253","Tapeinochilos acaulis","Tapeinochilos","Costaceae"
"17254","Tapeinosperma acutangulum","Tapeinosperma","Primulaceae"
"17255","Tapeinostemon adulans","Tapeinostemon","Gentianaceae"
"17256","Tapheocarpa calandrinioides","Tapheocarpa","Commelinaceae"
"17257","Taphrospermum fontanum","Taphrospermum","Brassicaceae"
"17258","Tapinanthus apodanthus","Tapinanthus","Loranthaceae"
"17259","Tapiphyllum burnettii","Tapiphyllum","Rubiaceae"
"17260","Tapiria guianense","Tapiria",NA
"17261","Tapirira bethanniana","Tapirira","Anacardiaceae"
"17262","Tapiscia sinensis","Tapiscia","Tapisciaceae"
"17263","Taplinia saxatilis","Taplinia","Asteraceae"
"17264","Taprobanea spathulata","Taprobanea","Orchidaceae"
"17265","Tapura acreana","Tapura","Dichapetalaceae"
"17266","Taralea cordata","Taralea","Fabaceae"
"17267","Tarasa albertii","Tarasa","Malvaceae"
"17268","Taravalia obscura","Taravalia","Rutaceae"
"17269","Taraxacum abax","Taraxacum","Asteraceae"
"17270","Taraxia tikurana","Taraxia","Onagraceae"
"17271","Taraxis grossa","Taraxis","Restionaceae"
"17272","Tarchonanthus camphoratus","Tarchonanthus","Cyperaceae"
"17273","Tardavel dibrachiata","Tardavel","Rubiaceae"
"17274","Tarenaya hassleriana","Tarenaya","Cleomaceae"
"17275","Tarenna acutisepala","Tarenna","Rubiaceae"
"17276","Tarennoidea wallichii","Tarennoidea","Rubiaceae"
"17277","Targionia bifurca","Targionia",NA
"17278","Tarigidia aequiglumis","Tarigidia","Poaceae"
"17279","Tarlmounia elliptica","Tarlmounia","Asteraceae"
"17280","Tarrietia albiflora","Tarrietia","Cyperaceae"
"17281","Tartagalia roseorum","Tartagalia","Malvaceae"
"17282","Tasmannia beccariana","Tasmannia","Winteraceae"
"17283","Tassadia aristata","Tassadia","Apocynaceae"
"17284","Tatianyx arnacites","Tatianyx","Poaceae"
"17285","Taurantha collina","Taurantha","Orchidaceae"
"17286","Tauscheria lasiocarpa","Tauscheria","Brassicaceae"
"17287","Tauschia allioides","Tauschia","Ericaceae"
"17288","Tavaresia angolensis","Tavaresia","Apocynaceae"
"17289","Taverniera abyssinica","Taverniera","Fabaceae"
"17290","Taxandria angustifolia","Taxandria","Myrtaceae"
"17291","Taxicaulis byssobolax","Taxicaulis",NA
"17292","Taxilejeunea acutifolia","Taxilejeunea",NA
"17293","Taxillus balansae","Taxillus","Loranthaceae"
"17294","Taxiphyllum alternans","Taxiphyllum",NA
"17295","Taxitheliella richardsii","Taxitheliella",NA
"17296","Taxithelium alare","Taxithelium",NA
"17297","Taxodium ascendens","Taxodium","Cupressaceae"
"17298","Taxotrophis macrophylla","Taxotrophis","Moraceae"
"17299","Taxus baccata","Taxus","Taxaceae"
"17300","Tayloria acuminata","Tayloria",NA
"17301","Tchihatchewia isatidea","Tchihatchewia","Brassicaceae"
"17302","Teagueia teaguei","Teagueia","Orchidaceae"
"17303","Teclea campestris","Teclea","Solanaceae"
"17304","Tecoma alata","Tecoma","Bignoniaceae"
"17305","Tecomanthe dendrophila","Tecomanthe","Bignoniaceae"
"17306","Tecomaria capensis","Tecomaria","Loranthaceae"
"17307","Tecomella undulata","Tecomella","Bignoniaceae"
"17308","Tecophilaea violiflora","Tecophilaea","Tecophilaeaceae"
"17309","Tectaria acerifolia","Tectaria","Pteridaceae"
"17310","Tectaridium macleanii","Tectaridium","Polypodiaceae"
"17311","Tecticornia annelida","Tecticornia","Amaranthaceae"
"17312","Tectona grandis","Tectona","Annonaceae"
"17313","Tecunumania quetzalteca","Tecunumania","Cucurbitaceae"
"17314","Teedia lucida","Teedia","Scrophulariaceae"
"17315","Teesdalia conferta","Teesdalia","Brassicaceae"
"17316","Teesdaliopsis conferta","Teesdaliopsis","Brassicaceae"
"17317","Tegicornia uniflora","Tegicornia","Amaranthaceae"
"17318","Tegulifolium spegazzinianum","Tegulifolium",NA
"17319","Tehuana calzadae","Tehuana","Fabaceae"
"17320","Teijsmanniodendron ahernianum","Teijsmanniodendron","Lamiaceae"
"17321","Teinosolen jamesonii","Teinosolen","Rubiaceae"
"17322","Teixeiranthus foliosus","Teixeiranthus","Asteraceae"
"17323","Tekel paniculata","Tekel","Iridaceae"
"17324","Telanthera amoena","Telanthera","Amaranthaceae"
"17325","Telanthophora andrieuxii","Telanthophora","Asteraceae"
"17326","Telaranea apiahyna","Telaranea",NA
"17327","Telectadium edule","Telectadium","Apocynaceae"
"17328","Telekia speciosa","Telekia","Asteraceae"
"17329","Telephium imperati","Telephium","Polygalaceae"
"17330","Telesonix heucheriformis","Telesonix","Saxifragaceae"
"17331","Telfairia batesii","Telfairia","Malvaceae"
"17332","Teline canariensis","Teline","Fabaceae"
"17333","Teliostachya alopecuroidea","Teliostachya","Acanthaceae"
"17334","Telipodus grandifolius","Telipodus","Araceae"
"17335","Telipogon acicularis","Telipogon","Orchidaceae"
"17336","Telis aleppica","Telis","Fabaceae"
"17337","Telitoxicum duckei","Telitoxicum","Menispermaceae"
"17338","Tellima affinis","Tellima","Saxifragaceae"
"17339","Telmatoblechnum indicum","Telmatoblechnum","Aspleniaceae"
"17340","Telmatophila scolymastrum","Telmatophila","Poaceae"
"17341","Telminostelma ekmanii","Telminostelma","Apocynaceae"
"17342","Telmissa microcarpa","Telmissa","Crassulaceae"
"17343","Telopea aspera","Telopea","Annonaceae"
"17344","Telosiphonia brachysiphon","Telosiphonia","Apocynaceae"
"17345","Telosma africana","Telosma","Apocynaceae"
"17346","Temburongia simplex","Temburongia","Poaceae"
"17347","Temnadenia odorifera","Temnadenia","Apocynaceae"
"17348","Temnocalyx nodulosa","Temnocalyx","Rubiaceae"
"17349","Temnoma angustifolium","Temnoma",NA
"17350","Temnopteryx sericea","Temnopteryx","Rubiaceae"
"17351","Templetonia aculeata","Templetonia","Fabaceae"
"17352","Tenaris bikitaensis","Tenaris","Apocynaceae"
"17353","Tenaxia disticha","Tenaxia","Poaceae"
"17354","Tennantia sennii","Tennantia","Rubiaceae"
"17355","Tenrhynea phylicifolia","Tenrhynea","Asteraceae"
"17356","Tephrocactus alexanderi","Tephrocactus","Cactaceae"
"17357","Tephroseris atropurpurea","Tephroseris","Asteraceae"
"17358","Tephrosia abbottiae","Tephrosia","Fagaceae"
"17359","Tephrothamnus paradoxus","Tephrothamnus","Asteraceae"
"17360","Tepualia stipularis","Tepualia","Myrtaceae"
"17361","Tepuia cardonae","Tepuia","Ericaceae"
"17362","Tepuianthus aracensis","Tepuianthus","Thymelaeaceae"
"17363","Teramnus andongensis","Teramnus","Fabaceae"
"17364","Teratophyllum aculeatum","Teratophyllum","Polypodiaceae"
"17365","Teretidens flaccidus","Teretidens",NA
"17366","Terminalia actinophylla","Terminalia","Apocynaceae"
"17367","Terminthia paniculata","Terminthia","Anacardiaceae"
"17368","Terminthodia oppositifolia","Terminthodia","Rutaceae"
"17369","Ternstroemia acrodantha","Ternstroemia","Pentaphylacaceae"
"17370","Terpsichore achilleifolia","Terpsichore","Orchidaceae"
"17371","Terrestria incurvifolia","Terrestria",NA
"17372","Tersonia brevipes","Tersonia","Gyrostemonaceae"
"17373","Terua vallicola","Terua","Fabaceae"
"17374","Tessaranthium angustifolium","Tessaranthium","Gentianaceae"
"17375","Tessaria absinthioides","Tessaria","Asteraceae"
"17376","Tessiera lithospermoides","Tessiera","Rubiaceae"
"17377","Tessmannia africana","Tessmannia","Fabaceae"
"17378","Tessmanniacanthus chlamydocardioides","Tessmanniacanthus","Acanthaceae"
"17379","Tessmannianthus calcaratus","Tessmannianthus","Melastomataceae"
"17380","Testulea gabonensis","Testulea","Ochnaceae"
"17381","Tetilla hydrocotylifolia","Tetilla","Saxifragaceae"
"17382","Tetrabaculum cacatua","Tetrabaculum","Orchidaceae"
"17383","Tetraberlinia bifoliolata","Tetraberlinia","Fabaceae"
"17384","Tetracarpaea tasmannica","Tetracarpaea","Tetracarpaeaceae"
"17385","Tetracarpidium conophorum","Tetracarpidium","Euphorbiaceae"
"17386","Tetracentron sinense","Tetracentron","Trochodendraceae"
"17387","Tetracera affinis","Tetracera","Dilleniaceae"
"17388","Tetrachaete elionuroides","Tetrachaete","Malvaceae"
"17389","Tetrachne dregei","Tetrachne","Poaceae"
"17390","Tetrachondra hamiltonii","Tetrachondra","Tetrachondraceae"
"17391","Tetrachyron brandegeei","Tetrachyron","Asteraceae"
"17392","Tetraclea coulteri","Tetraclea","Lamiaceae"
"17393","Tetraclinis articulata","Tetraclinis","Lamiaceae"
"17394","Tetracme bucharica","Tetracme","Ericaceae"
"17395","Tetracoccus capensis","Tetracoccus","Euphorbiaceae"
"17396","Tetracoscinodon irroratus","Tetracoscinodon",NA
"17397","Tetractomia lauterbachiana","Tetractomia","Rutaceae"
"17398","Tetracymbaliella rodwayana","Tetracymbaliella",NA
"17399","Tetradenia acutotrinervia","Tetradenia","Apocynaceae"
"17400","Tetradia horsfieldii","Tetradia","Lythraceae"
"17401","Tetradiclis tenella","Tetradiclis","Nitrariaceae"
"17402","Tetradium austrosinense","Tetradium","Crassulaceae"
"17403","Tetradymia argyraea","Tetradymia","Asteraceae"
"17404","Tetraena alba","Tetraena","Zygophyllaceae"
"17405","Tetragastris altissima","Tetragastris","Malvaceae"
"17406","Tetraglochidium gigantodes","Tetraglochidium","Acanthaceae"
"17407","Tetraglochin acanthocarpum","Tetraglochin","Acanthaceae"
"17408","Tetragonia acanthocarpa","Tetragonia","Amaranthaceae"
"17409","Tetragonolobus conjugatus","Tetragonolobus","Rosaceae"
"17410","Tetragonotheca helianthoides","Tetragonotheca","Asteraceae"
"17411","Tetralix brachypetalus","Tetralix","Orchidaceae"
"17412","Tetralocularia pennellii","Tetralocularia","Convolvulaceae"
"17413","Tetralophozia cavallii","Tetralophozia",NA
"17414","Tetrameles nudiflora","Tetrameles","Tetramelaceae"
"17415","Tetrameranthus duckei","Tetrameranthus","Annonaceae"
"17416","Tetramerista glabra","Tetramerista","Tetrameristaceae"
"17417","Tetramerium abditum","Tetramerium","Rubiaceae"
"17418","Tetramicra bulbosa","Tetramicra","Orchidaceae"
"17419","Tetramolopium arenarium","Tetramolopium","Asteraceae"
